2020.ccl	2020	@	Proceedings of the 19th Chinese National Conference on Computational Linguistics
2020.challengehml	2020	@	Second Grand-Challenge and Workshop on Multimodal Language (Challenge-HML)
2020.cl	2020	@	Computational Linguistics, Volume 46, Issue 1 - March 2020
2020.clinicalnlp	2020	@	Proceedings of the 3rd Clinical Natural Language Processing Workshop
2020.cllrd	2020	@	Proceedings of the LREC 2020 Workshop on "Citizen Linguistics in Language Resource Development"
2020.clssts	2020	@	Proceedings of the workshop on Cross-Language Search and Summarization of Text and Speech (CLSSTS2020)
2020.cmcl	2020	@	Proceedings of the Workshop on Cognitive Modeling and Computational Linguistics
2020.cmlc	2020	@	Proceedings of the 8th Workshop on Challenges in the Management of Large Corpora
2020.codi	2020	@	Proceedings of the First Workshop on Computational Approaches to Discourse
2020.cogalex	2020	@	Proceedings of the Workshop on the Cognitive Aspects of the Lexicon
2020.coling	2020	@	Proceedings of the 28th International Conference on Computational Linguistics
2020.computerm	2020	@	Proceedings of the 6th International Workshop on Computational Terminology
2020.conll	2020	@	Proceedings of the 24th Conference on Computational Natural Language Learning
2020.crac	2020	@	Proceedings of the Third Workshop on Computational Models of Reference, Anaphora and Coreference
2020.deelio	2020	@	Proceedings of Deep Learning Inside Out (DeeLIO): The First Workshop on Knowledge Extraction and Integration for Deep Learning Architectures
2020.dmr	2020	@	Proceedings of the Second International Workshop on Designing Meaning Representations
2020.eamt	2020	@	Proceedings of the  
2020.ecnlp	2020	@	Proceedings of The 3rd Workshop on e-Commerce and NLP
2020.ecomnlp	2020	@	Proceedings of Workshop on Natural Language Processing in E-Commerce
2020.emnlp	2020	@	Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)
2020.eval4nlp	2020	@	Proceedings of the First Workshop on Evaluation and Comparison of NLP Systems
2020.evalnlgeval	2020	@	Proceedings of the 1st Workshop on Evaluating NLG Evaluation
2020.fever	2020	@	Proceedings of the Third Workshop on Fact Extraction and VERification (FEVER)
2020.figlang	2020	@	Proceedings of the Second Workshop on Figurative Language Processing
2020.findings	2020	@	Findings of the Association for Computational Linguistics: EMNLP 2020
2020.finnlp	2020	@	Proceedings of the Second Workshop on Financial Technology and Natural Language Processing
2020.fnp	2020	@	Proceedings of the 1st Joint Workshop on Financial Narrative Processing and MultiLing Financial Summarisation
2020.framenet	2020	@	Proceedings of the International FrameNet Workshop 2020: Towards a Global, Multilingual FrameNet
2020.gamnlp	2020	@	Workshop on Games and Natural Language Processing
2020.gebnlp	2020	@	Proceedings of the Second Workshop on Gender Bias in Natural Language Processing
2020.globalex	2020	@	Proceedings of the 2020 Globalex Workshop on Linked Lexicography
2020.inlg	2020	@	Proceedings of the 13th International Conference on Natural Language Generation
2020.insights	2020	@	Proceedings of the First Workshop on Insights from Negative Results in NLP
2020.intexsempar	2020	@	Proceedings of the First Workshop on Interactive and Executable Semantic Parsing
2020.isa	2020	@	16th Joint ACL - ISO Workshop on Interoperable Semantic Annotation PROCEEDINGS
2020.iwclul	2020	Wien, Austria	Proceedings of the Sixth International Workshop on Computational Linguistics of Uralic Languages
2020.iwdp	2020	Suzhou, China	Proceedings of the Second International Workshop of Discourse Processing
2020.iwltp	2020	@	Proceedings of the 1st International Workshop on Language Technology Platforms
