2017.jeptalnrecital.long	Actes des 24ème Conférence sur le Traitement Automatique des Langues Naturelles. Volume 1 - Articles longs	2017	Orléans, France
2017.jeptalnrecital.recital	Actes des 24ème Conférence sur le Traitement Automatique des Langues Naturelles. 19es REncontres jeunes Chercheurs en Informatique pour le TAL (RECITAL 2017)	2017	Orléans, France
2017.lilt.15	Linguistic Issues in Language Technology, Volume 15, 2017	2017	@
2018.jeptalnrecital.court	Actes de la Conférence TALN. Volume 1 - Articles longs, articles courts de TALN	2018	Rennes, France
2018.jeptalnrecital.deft	Actes de la Conférence TALN. Volume 2 - Démonstrations, articles des Rencontres Jeunes Chercheurs, ateliers DeFT	2018	Rennes, France
2018.jeptalnrecital.demo	Actes de la Conférence TALN. Volume 2 - Démonstrations, articles des Rencontres Jeunes Chercheurs, ateliers DeFT	2018	Rennes, France
2018.jeptalnrecital.long	Actes de la Conférence TALN. Volume 1 - Articles longs, articles courts de TALN	2018	Rennes, France
2018.jeptalnrecital.recital	Actes de la Conférence TALN. Volume 2 - Démonstrations, articles des Rencontres Jeunes Chercheurs, ateliers DeFT	2018	Rennes, France
2018.lilt.16	Linguistic Issues in Language Technology, Volume 16, 2018	2018	@
2019.ccnlg.1	Proceedings of the 4th Workshop on Computational Creativity in Language Generation	2019	Tokyo, Japan
2019.jeptalnrecital.court	Actes de la Conférence sur le Traitement Automatique des Langues Naturelles (TALN) PFIA 2019. Volume II : Articles courts	2019	Toulouse, France
2019.jeptalnrecital.deft	Actes de la Conférence sur le Traitement Automatique des Langues Naturelles (TALN) PFIA 2019. Défi Fouille de Textes (atelier TALN-RECITAL)	2019	Toulouse, France
2019.jeptalnrecital.demo	Actes de la Conférence sur le Traitement Automatique des Langues Naturelles (TALN) PFIA 2019. Volume IV : Démonstrations	2019	Toulouse, France
2019.jeptalnrecital.long	Actes de la Conférence sur le Traitement Automatique des Langues Naturelles (TALN) PFIA 2019. Volume I : Articles longs	2019	Toulouse, France
2019.jeptalnrecital.recital	Actes de la Conférence sur le Traitement Automatique des Langues Naturelles (TALN) PFIA 2019. Volume III : RECITAL	2019	Toulouse, France
2019.jeptalnrecital.tia	Actes de la Conférence sur le Traitement Automatique des Langues Naturelles (TALN) PFIA 2019. Terminologie et Intelligence Artificielle (atelier TALN-RECITAL \& IC)	2019	Toulouse, France
2019.lilt.17	Linguistic Issues in Language Technology, Volume 17, 2019	2019	@
